i,ParkingGeohash,AvgLatitude,AvgLongitude,AvgTimeToPark,AvgTotalGeohashes,TotalSearching
157,dphgvjv,40.06682,-83.09266,4.85,6.8,5
158,dphuj5p,40.09531,-83.08995999999999,5.03,7.8,5
159,dpj5c4x,40.04887,-82.91428,5.3694,8.0,6
160,dphgr31,39.952420000000004,-82.99953000000001,4.6679,10.5714,14
161,dphgwbt,39.993990000000004,-83.01573,5.7472,10.1667,6
162,dphgr9b,39.95701,-82.98954,3.2033,7.2,5
163,dphgr5p,39.96325,-83.0023,6.0286,8.1429,7
164,dphg7y6,39.9814,-83.15183,4.4643,8.7143,7
165,dphgur0,40.073609999999995,-83.13291,3.8833,8.6364,11
166,dphgkvy,39.97824,-83.10288,4.2525,9.575,40
167,dphgurb,40.07738,-83.13283,3.9952,8.7143,7
168,dphups6,40.10242,-82.98705,2.4738,6.8571,7
169,dphgh75,39.91949,-83.1288,9.2889,7.3333,6
170,dphgr8z,39.95092,-82.98056,3.7,7.8,5
171,dphgm1s,39.95489,-83.09396,6.7533,7.6,5
172,dphgur9,40.07611,-83.13146,4.5433,7.6,5
173,dphgr3f,39.95625,-82.99856,8.925,9.3333,6
174,dphgqwz,39.98455,-83.02394,4.2436,7.4615,13
175,dphup9u,40.087920000000004,-82.98435,3.3175,6.381,21
176,dphgr5y,39.96738,-83.0034,6.7583,8.1667,6
177,dphgr6k,39.95949,-82.99579,7.8722,10.2222,9
178,dphgrk1,39.968959999999996,-82.99968,5.7333,8.3077,13
179,dphgku5,39.96905,-83.10709,2.8283,6.4,20
180,dpjh560,40.089459999999995,-82.82491,3.09,7.6,5
181,dpj58c6,39.997859999999996,-82.93218,3.5733,7.0,5
182,dphgr30,39.95265,-83.00085,6.3593,9.1111,9
183,dphgrht,39.97162,-83.00523000000001,6.4867,8.6,5
184,dphgrk4,39.96891,-82.99847,5.6593,7.0,9
185,dpj55ht,39.92794,-82.82946,5.7519,8.4444,9
186,dpj5c6b,40.04974,-82.91331,5.7389,8.0,9
187,dphgzvj,40.06197,-82.97264,5.603,7.2727,11
188,dphgrjr,39.97544,-83.00220999999999,5.343999999999999,9.3571,14
189,dphgrnw,39.98277,-83.00386,5.0976,7.2857,7
190,dpj5c4z,40.04983,-82.91428,5.9064,7.5385,13
191,dphum20,40.122890000000005,-83.08887,5.5667,7.6429,14
192,dpj5fmt,40.06508,-82.86219,4.8762,6.7143,7
193,dphgqyb,39.984629999999996,-83.02343,3.8111,7.4444,9
194,dphgqxp,39.9852,-83.02414,3.263,7.8889,9
195,dphgwx9,40.032140000000005,-83.03241,5.5852,7.8889,9
196,dphgr32,39.953540000000004,-83.00081999999999,5.8121,9.2045,88
197,dphgr6b,39.96219,-83.00129,5.6244,7.6667,15
198,dphujhp,40.10127,-83.09044,2.8377,7.3162,27
199,dphgr63,39.9595,-82.99987,8.0633,7.8,5
200,dpj555u,39.923559999999995,-82.83061,2.0485,6.1212,33
201,dphgrkh,39.96869,-82.99548,7.3267,8.8,5
202,dphgr6r,39.95982,-82.99126,5.506,8.2143,14
203,dphgr67,39.959720000000004,-82.99675,5.8241,7.5556,18
204,dphgr36,39.9539,-82.99837,5.1519,7.5688,109
205,dphgvez,40.05522,-83.06821,5.68,7.4,5
206,dphgkn6,39.98173,-83.14147,5.9833,6.2222,9
207,dphgr3d,39.95503,-82.99813,5.4694,8.125,48
