i,meter,numparking_tickets,lat,long,nearHash,HashDist
252,EK261,1.0,39.960884,-82.99322,dphgr6x,0.7736305003244208
253,EP201,1.0,39.961178000000004,-82.998795,dphgr69,0.6849967626045584
254,EK252,1.0,39.960865000000005,-82.99463,dphgr6v,0.7135751507567285
255,EK109,1.0,39.96045,-82.99695,dphgr67,0.610191177107884
256,EI541,1.0,39.960182,-82.98739,dphgrdg,1.0813900995322574
257,EI537,1.0,39.960167,-82.98754,dphgrdg,1.0696457564071067
258,EI401,1.0,39.959675,-82.99166,dphgr6r,0.7560649837608655
259,EI327,1.0,39.959590000000006,-82.99238000000001,dphgr6q,0.7055137830941445
260,EI122,1.0,39.95929,-82.9966,dphgr67,0.4907384686268699
261,EP106,1.0,39.96403,-82.99776,dphgr75,0.9998046514803678
262,EP204,1.0,39.964405,-82.995926,dphgr7k,1.0578397928530527
263,NG4,1.0,39.962776,-83.00423,dphgr5p,1.0056748712812895
264,EP8,1.0,39.963737,-83.00045,dphgr70,0.986885594789329
265,EX28,1.0,39.969254,-82.999535,dphgrk1,1.5839019337672042
266,EX26,1.0,39.969257,-82.9996,dphgrk1,1.5846645800757202
267,EX153,1.0,39.96882,-82.99804,dphgrk4,1.5311768035754318
268,EV140,1.0,39.968059999999994,-82.99847,dphgr7f,1.4470632591582062
269,ER37,1.0,39.96501,-82.99971,dphgr73,1.1163111945234199
270,ER10,1.0,39.965096,-83.00055,dphgr73,1.136632983489954
271,EP9,1.0,39.963609999999996,-83.00026,dphgr70,0.9698988633697014
272,EP6,1.0,39.96373,-83.000534,dphgr70,0.9875920299383475
273,EP247,1.0,39.961178000000004,-82.998795,dphgr69,0.6849967626045584
274,EP46,1.0,39.963885999999995,-82.999084,dphgr73,0.9866886500658815
275,EP44,1.0,39.963879999999996,-82.99916999999999,dphgr73,0.9866593732099939
276,EP43,1.0,39.963715,-82.999374,dphgr73,0.9701693696501446
277,EP42,1.0,39.96387,-82.999245,dphgr73,0.9861520091496354
278,EP41,1.0,39.96371,-82.99938,dphgr73,0.969673878619087
279,EP309,1.0,39.961178000000004,-82.998795,dphgr69,0.6849967626045584
280,EP3,1.0,39.963584999999995,-83.00049,dphgr70,0.9710623496943108
281,EI112,1.0,39.95926,-82.99684,dphgr67,0.48243415098630915
282,EG544,1.0,39.958859999999994,-82.98822,dphgrd2,0.947570257348513
283,EG112,1.0,39.957943,-82.99635,dphgr6k,0.3574185519196226
284,B55,1.0,39.952296999999994,-82.99828000000001,dphgr34,0.30372580286717304
285,B9,1.0,39.952568,-82.99939,dphgr31,0.2938043976577052
286,B614,1.0,39.951584000000004,-82.998474,dphgr2f,0.3837497653661414
287,B606,1.0,39.95199,-82.99854,dphgr34,0.33935593557599975
288,B604,1.0,39.952038,-82.99856,dphgr34,0.3342388106331612
289,B563,1.0,39.95067,-83.00030500000001,dphgr2c,0.5185588882013241
290,B559,1.0,39.95078,-83.00033,dphgr2c,0.5079622311988754
291,B555,1.0,39.950905,-83.00035,dphgr2c,0.495746597483498
292,B546,1.0,39.950527,-83.00009,dphgr2c,0.5272919730738883
293,ED123,1.0,39.955673,-82.99725,dphgr3d,0.1036897822363513
294,B532,1.0,39.95117,-83.000206,dphgr2c,0.46385334040392046
295,B521,1.0,39.9514,-83.00045,dphgr2c,0.4491702361528579
296,B513,1.0,39.952168,-83.00059499999999,dphgr30,0.38125017492451313
297,B510,1.0,39.95219,-83.00041999999999,dphgr30,0.37111856312954633
298,B504,1.0,39.952377,-83.00045,dphgr30,0.35507046004052867
299,B5,1.0,39.952553,-82.99923000000001,dphgr31,0.29064956612275916
300,B27,1.0,39.952568,-82.99835999999999,dphgr34,0.27407068322403827
301,C440,1.0,39.961178000000004,-82.998795,dphgr69,0.6849967626045584
302,EA12,1.0,39.953686,-82.99769599999999,dphgr36,0.1537684805887781
303,EA14,1.0,39.953712,-82.9974,dphgr36,0.15908256509941798
304,EA24,1.0,39.95378,-82.99689000000001,dphgr36,0.17461539363492173
305,EC54,1.0,39.955116,-82.99718,dphgr3d,0.08173699488524143
306,EC4,1.0,39.95494,-82.99864000000001,dphgr3d,0.04471050625913473
307,EC30,1.0,39.955017,-82.99805,dphgr3d,0.006986693841924778
308,EC3,1.0,39.95477,-82.99879,dphgr3d,0.06335636294181819
309,EC28,1.0,39.955006,-82.99814,dphgr3d,0.0027984597364241106
310,EC26,1.0,39.954994,-82.9982,dphgr3d,0.007194142625699555
311,EC13,1.0,39.954807,-82.99843,dphgr3d,0.035640382399664175
312,EC117,1.0,39.955124,-82.99571,dphgr3d,0.20705171854894153
313,EC1,1.0,39.95476,-82.99888,dphgr3d,0.07075278517404096
314,EA9,1.0,39.953465,-82.99837,dphgr36,0.17497383481434967
315,EA8,1.0,39.953625,-82.99823,dphgr36,0.1562362779264879
316,EA37,1.0,39.9536,-82.99728,dphgr36,0.17460272026958057
317,EA33,1.0,39.953575,-82.99744,dphgr36,0.17197712989326444
318,EA30,1.0,39.953808,-82.99664,dphgr36,0.18606634561886343
319,EA25,1.0,39.953540000000004,-82.99774000000001,dphgr36,0.1687634435649512
320,EX30,1.0,39.969254,-82.99947,dphgrk1,1.5834907022401083
321,EX32,1.0,39.96924,-82.999374,dphgrk1,1.5813678260903636
322,EY409,1.0,39.96928,-82.99245,dphgrkh,1.6549871477056555
323,K432,1.0,39.97677,-83.00495,dphgrjq,2.4832078387225613
324,K629,1.0,39.978229999999996,-83.003876,dphgrjq,2.622348511255525
325,K603,1.0,39.977406,-83.00369,dphgrjq,2.529499943616584
326,K547,1.0,39.975925,-83.00341,dphgrjq,2.3635040334975637
327,K502,1.0,39.974968,-83.00299999999999,dphgrjn,2.2525566720943337
328,K494,1.0,39.974470000000004,-83.00291,dphgrjn,2.1967947155980174
329,K490,1.0,39.974342,-83.00288,dphgrjn,2.182353674138049
330,K486,1.0,39.974228000000004,-83.00285,dphgrjn,2.1694399979773427
331,K420,1.0,39.976597,-83.00493,dphgrjq,2.4641360923663647
332,K287,1.0,39.978996,-83.00192,dphgrjq,2.680668500133826
333,K39,1.0,39.97357,-83.005615,dphgrjn,2.1556148648020126
334,K38,1.0,39.973735999999995,-83.00629,dphgrjn,2.190887339871608
335,K376,1.0,39.975609999999996,-83.00473000000001,dphgrjq,2.3536252524347576
336,K36,1.0,39.973735999999995,-83.0062,dphgrjn,2.1884525773375607
337,K341,1.0,39.975165999999994,-83.00484499999999,dphgrjn,2.3082150116523663
338,K335,1.0,39.97498,-83.00480999999999,dphgrjn,2.2874687998667014
339,K332,1.0,39.97502,-83.00464000000001,dphgrjn,2.2881961560921376
340,K696,1.0,39.980087,-83.00401,dphgrnw,2.827168170840112
341,K701,1.0,39.980225,-83.00428000000001,dphgrnw,2.846415844130974
342,K702,1.0,39.98166,-83.00431,dphgrnw,3.003604485011946
343,K716,1.0,39.9823,-83.00443,dphgrnw,3.0753625448545674
344,NG370,1.0,39.967796,-83.0052,dphgr5u,1.5408097678773474
345,M510,1.0,39.95836,-83.02219000000001,dphgqf0,2.0888574139016423
346,M506,1.0,39.958378,-83.022026,dphgqf0,2.075423526921633
347,M133,1.0,39.958084,-83.02275999999999,dphgqf0,2.1317261209098213
348,K957,1.0,39.98581,-83.00471,dphgrnw,3.4635500705405593
349,K936,1.0,39.986546000000004,-83.00528,dphgrpv,3.5522609044126456
350,K935,1.0,39.986416,-83.0055,dphgrpv,3.5413356091657255
351,K836,1.0,39.985554,-83.00508,dphgrnw,3.4408188162814284
352,K822,1.0,39.984184,-83.0048,dphgrnw,3.2868580117545956
353,K769,1.0,39.981976,-83.00461999999999,dphgrnw,3.042865306188509
354,K761,1.0,39.981453,-83.00452,dphgrnw,2.9842110219029654
355,B163,1.0,39.951107,-82.99799,dphgr2f,0.43574957962744393
356,K755,1.0,39.981274,-83.004486,dphgrnw,2.9641401348367866
357,K754,1.0,39.983540000000005,-83.004715,dphgrnw,3.2151805008607606
358,K736,1.0,39.98015,-83.0047,dphgrnw,2.845093009200965
359,K326,1.0,39.974743,-83.00463,dphgrjn,2.2581645249310367
360,K281,1.0,39.978770000000004,-83.00187,dphgrjq,2.655242853413848
361,EZ520,1.0,39.9714,-82.9909,dphgrkh,1.919726741436959
362,K1159,1.0,39.976147,-83.00258000000001,dphgrjr,2.3753285183698325
363,K156,1.0,39.97449,-83.00404,dphgrjn,2.2189357028617454
364,K153,1.0,39.97446,-83.00349,dphgrjn,2.2054580933768184
365,K1455,1.0,39.980305,-83.00368,dphgrnw,2.84615913245331
366,K136,1.0,39.97803,-83.00310999999999,dphgrjq,2.588981477845228
367,K126,1.0,39.976955,-83.002975,dphgrjq,2.4693613941893187
368,K120,1.0,39.976929999999996,-83.00323,dphgrjq,2.470374310187439
369,K119,1.0,39.973633,-83.00707,dphgrht,2.202265861110785
370,K1157,1.0,39.97609,-83.00256,dphgrjr,2.36880778921748
371,K269,1.0,39.979134,-83.00216,dphgrjq,2.6984191564977653
372,K114,1.0,39.97568,-83.002625,dphgrjr,2.324791129330053
373,K1109,1.0,39.98969,-83.00610999999999,dphgrpv,3.908355715823402
374,K1107,1.0,39.98953,-83.00608000000001,dphgrpv,3.890415700003953
375,K105,1.0,39.973620000000004,-83.00678,dphgrht,2.192436445834737
376,F58,1.0,39.986183000000004,-83.00621,dphgrpv,3.527247000006787
377,F33,1.0,39.986282,-83.00559,dphgrpv,3.5280759336405487
378,F32,1.0,39.986282,-83.00556,dphgrpv,3.5276138705286177
379,K163,1.0,39.97438,-83.00417,dphgrjn,2.2096117678431964
380,K167,1.0,39.97437,-83.004326,dphgrjn,2.21168440656229
381,K175,1.0,39.975590000000004,-83.00269,dphgrjr,2.315863742925105
382,K183,1.0,39.976852,-83.00304,dphgrjq,2.4590287701251348
383,K265,1.0,39.979115,-83.00230400000001,dphgrjq,2.6979253221398665
384,K259,1.0,39.979088,-83.002525,dphgrjq,2.6975170726274795
385,K257,1.0,39.979079999999996,-83.00261,dphgrjq,2.697658210652966
386,K255,1.0,39.979073,-83.00269,dphgrjq,2.6978673304099594
387,K25,1.0,39.97356,-83.00536,dphgrjn,2.148188641784791
388,K236,1.0,39.978752,-83.00455,dphgrjq,2.6904515100277666
389,K235,1.0,39.97868,-83.004295,dphgrjq,2.6782560103383006
390,K232,1.0,39.978764,-83.00442,dphgrjq,2.6895147636045857
391,K220,1.0,39.975468,-83.00428000000001,dphgrjq,2.329348231189847
392,K214,1.0,39.975494,-83.00407,dphgrjq,2.328184101879615
393,K206,1.0,39.975533,-83.00373,dphgrjq,2.326262725897629
394,K195,1.0,39.977917,-83.003265,dphgrjq,2.5788258637987513
395,K193,1.0,39.977909999999994,-83.00334000000001,dphgrjq,2.579158092016749
396,K187,1.0,39.97687,-83.00288,dphgrjq,2.4587048996868877
397,K185,1.0,39.976864,-83.00296,dphgrjq,2.4591855147727064
398,WX155,1.0,39.968433000000005,-83.005974,dphgr5u,1.632137804307461
